filename,character,calligrapher,script_id,char_id
106084.png,有,赵之谦,1,2478
106087.png,有,黄士陵,1,2478
106090.png,有,李斯,1,2478
166113.png,而,唐代石刻篆文,1,4454
166115.png,而,李阳冰,1,4454
166117.png,而,古文四声韵,1,4454
166120.png,而,汗简,1,4454
166123.png,而,集篆古文韵海,1,4454
166125.png,而,石鼓文,1,4454
166129.png,而,吴大澂,1,4454
166130.png,而,吴昌硕,1,4454
166131.png,而,吴让之,1,4454
166133.png,而,徐三庚,1,4454
166134.png,而,杨沂孙,1,4454
166136.png,而,赵之谦,1,4454
166137.png,而,邓琰,1,4454
166139.png,而,黄士陵,1,4454
166140.png,而,李斯,1,4454
166141.png,而,三体石经,1,4454
170602.png,自,说文解字,1,4592
170603.png,自,唐代石刻篆文,1,4592
170605.png,自,李阳冰,1,4592
170606.png,自,三体阴符经,1,4592
170607.png,自,古文四声韵,1,4592
170611.png,自,汗简,1,4592
170613.png,自,隶释 隶续,1,4592
170616.png,自,集篆古文韵海,1,4592
170625.png,自,吴大澂,1,4592
170626.png,自,吴昌硕,1,4592
170628.png,自,徐三庚,1,4592
170629.png,自,杨沂孙,1,4592
170631.png,自,赵之谦,1,4592
170633.png,自,邓琰,1,4592
170634.png,自,三体石经,1,4592
170637.png,自,春秋僖公石经,1,4592
181745.png,行,吴叡,1,5017
181746.png,行,唐代石刻篆文,1,5017
181747.png,行,李阳冰,1,5017
181748.png,行,三体阴符经,1,5017
181749.png,行,古文四声韵,1,5017
181752.png,行,汗简,1,5017
181753.png,行,集篆古文韵海,1,5017
181754.png,行,吴大澂,1,5017
181755.png,行,吴昌硕,1,5017
181756.png,行,吴让之,1,5017
181758.png,行,杨沂孙,1,5017
181760.png,行,永瑆,1,5017
181761.png,行,王澍,1,5017
181762.png,行,赵之谦,1,5017
181763.png,行,邓琰,1,5017
181764.png,行,李斯,1,5017
181765.png,行,魏石经古文汇编,1,5017
185546.png,言,篆刻,1,5137
185548.png,言,唐代石刻篆文,1,5137
185551.png,言,李阳冰,1,5137
185553.png,言,古文四声韵,1,5137
185559.png,言,汗简,1,5137
185561.png,言,隶释 隶续,1,5137
185562.png,言,集篆古文韵海,1,5137
185567.png,言,马王堆帛书,1,5137
185568.png,言,吴大澂,1,5137
185569.png,言,吴昌硕,1,5137
185570.png,言,杨沂孙,1,5137
185571.png,言,王澍,1,5137
185573.png,言,邓琰,1,5137
185574.png,言,李斯,1,5137
185577.png,言,魏石经古文汇编,1,5137
234640.png,㠯,吴让之,1,34
234641.png,㠯,赵之谦,1,34
234644.png,㠯,春秋僖公石经,1,34
235812.png,上,吴昌硕,1,164
235813.png,上,吴让之,1,164
235814.png,上,杨沂孙,1,164
235815.png,上,永瑆,1,164
235816.png,上,赵之谦,1,164
235818.png,上,王禔,1,164
235909.png,下,唐代石刻篆文,1,165
235921.png,下,隶释 隶续,1,165
235928.png,下,吴昌硕,1,165
235930.png,下,赵之谦,1,165
236895.png,中,汗简,1,185
236901.png,中,吴大澂,1,185
236902.png,中,吴让之,1,185
236903.png,中,徐三庚,1,185
236905.png,中,赵之谦,1,185
237599.png,之,黄士陵,1,202
237601.png,之,李斯,1,202
238550.png,事,李阳冰,1,223
238553.png,事,汗简,1,223
238556.png,事,石鼓文,1,223
238558.png,事,马王堆帛书,1,223
238559.png,事,杨沂孙,1,223
250243.png,可,汗简,1,815
250251.png,可,杨沂孙,1,815
250252.png,可,黄士陵,1,815
256083.png,大,吴大澂,1,1184
256084.png,大,吴昌硕,1,1184
256085.png,大,邓琰,1,1184
256086.png,大,黄士陵,1,1184
256267.png,天,集篆古文韵海,1,1186
256274.png,天,徐三庚,1,1186
256275.png,天,杨沂孙,1,1186
267883.png,心,吴叡,1,1778
267886.png,心,杨沂孙,1,1778
270739.png,我,马王堆帛书,1,1997
270740.png,我,徐三庚,1,1997
274394.png,文,吴大澂,1,2310
274395.png,文,赵之谦,1,2310
274396.png,文,黄士陵,1,2310
274853.png,方,唐代石刻篆文,1,2333
274856.png,方,马王堆帛书,1,2333
275646.png,日,吴大澂,1,2359
275647.png,日,李斯,1,2359
276510.png,是,唐代石刻篆文,1,2392
278014.png,有,吴大澂,1,2478
278015.png,有,邓琰,1,2478
302420.png,而,吴叡,1,4454
302424.png,而,三体阴符经,1,4454
302431.png,而,马王堆帛书,1,4454
304250.png,自,吴叡,1,4592
304258.png,自,石鼓文,1,4592
304259.png,自,吴让之,1,4592
304260.png,自,永瑆,1,4592
304264.png,自,黄士陵,1,4592
304265.png,自,李斯,1,4592
308756.png,行,隶释 隶续,1,5017
308762.png,行,黄士陵,1,5017
310281.png,言,吴叡,1,5137
310294.png,言,吴让之,1,5137
310295.png,言,徐三庚,1,5137
310298.png,言,黄士陵,1,5137
310299.png,言,三体石经,1,5137
38641.png,可,篆刻,1,815
38647.png,可,唐代石刻篆文,1,815
38650.png,可,三体阴符经,1,815
38652.png,可,古文四声韵,1,815
38656.png,可,隶释 隶续,1,815
38657.png,可,集古文韵上声韵第三,1,815
38658.png,可,集篆古文韵海,1,815
38659.png,可,石鼓文,1,815
38660.png,可,三体石经,1,815
38661.png,可,吴大澂,1,815
38662.png,可,吴昌硕,1,815
38663.png,可,吴让之,1,815
38664.png,可,徐三庚,1,815
38666.png,可,赵之谦,1,815
38667.png,可,邓琰,1,815
38669.png,可,李斯,1,815
3917.png,上,吴叡,1,164
3920.png,上,唐代石刻篆文,1,164
3922.png,上,李阳冰,1,164
3925.png,上,古文四声韵,1,164
3929.png,上,汗简,1,164
3930.png,上,集古文韵上声韵第三,1,164
3932.png,上,集篆古文韵海,1,164
3936.png,上,吴大澂,1,164
3937.png,上,徐三庚,1,164
3938.png,上,邓琰,1,164
3939.png,上,黄士陵,1,164
3941.png,上,李斯,1,164
3942.png,上,三体石经,1,164
4164.png,下,吴叡,1,165
4166.png,下,李阳冰,1,165
4167.png,下,三体阴符经,1,165
4168.png,下,古文四声韵,1,165
4171.png,下,汗简,1,165
4173.png,下,集古文韵上声韵第三,1,165
4174.png,下,集篆古文韵海,1,165
4184.png,下,吴大澂,1,165
4185.png,下,吴让之,1,165
4187.png,下,杨沂孙,1,165
4189.png,下,邓琰,1,165
4190.png,下,黄士陵,1,165
4193.png,下,李斯,1,165
4195.png,下,三体石经,1,165
4196.png,下,魏石经古文汇编,1,165
52857.png,大,唐代石刻篆文,1,1184
52860.png,大,李阳冰,1,1184
52862.png,大,古文四声韵,1,1184
52865.png,大,汗简,1,1184
52866.png,大,隶释 隶续,1,1184
52868.png,大,集篆古文韵海,1,1184
52870.png,大,石鼓文,1,1184
52876.png,大,吴让之,1,1184
52878.png,大,徐三庚,1,1184
52879.png,大,杨沂孙,1,1184
52880.png,大,永瑆,1,1184
52883.png,大,赵之谦,1,1184
52887.png,大,李斯,1,1184
52890.png,大,三体石经,1,1184
52897.png,大,春秋僖公石经,1,1184
53255.png,天,唐代石刻篆文,1,1186
53257.png,天,李阳冰,1,1186
53261.png,天,三体阴符经,1,1186
53265.png,天,古文四声韵,1,1186
53277.png,天,汗简,1,1186
53282.png,天,隶释 隶续,1,1186
53283.png,天,石鼓文,1,1186
53284.png,天,吴大澂,1,1186
53285.png,天,吴昌硕,1,1186
53287.png,天,吴让之,1,1186
53290.png,天,王澍,1,1186
53292.png,天,赵之谦,1,1186
53295.png,天,邓琰,1,1186
53298.png,天,黄士陵,1,1186
53301.png,天,李斯,1,1186
53302.png,天,三体石经,1,1186
6463.png,中,说文解字,1,185
6464.png,中,吴叡,1,185
6468.png,中,唐代石刻篆文,1,185
6470.png,中,李阳冰,1,185
6476.png,中,古文四声韵,1,185
6485.png,中,隶释 隶续,1,185
6486.png,中,集篆古文韵海,1,185
6493.png,中,石鼓文,1,185
6498.png,中,马王堆帛书,1,185
6499.png,中,吴昌硕,1,185
6501.png,中,杨沂孙,1,185
6503.png,中,邓琰,1,185
6504.png,中,黄士陵,1,185
6505.png,中,李斯,1,185
6506.png,中,三体石经,1,185
8059.png,之,吴叡,1,202
8065.png,之,唐代石刻篆文,1,202
8076.png,之,李阳冰,1,202
8081.png,之,三体阴符经,1,202
8086.png,之,古文四声韵,1,202
8093.png,之,汗简,1,202
8096.png,之,隶释 隶续,1,202
8098.png,之,集篆古文韵海,1,202
8100.png,之,石鼓文,1,202
8112.png,之,吴大澂,1,202
8113.png,之,吴昌硕,1,202
8114.png,之,吴让之,1,202
8115.png,之,徐三庚,1,202
8118.png,之,王澍,1,202
8120.png,之,赵之谦,1,202
8122.png,之,邓琰,1,202
8126.png,之,三体石经,1,202
81311.png,心,篆刻,1,1778
81313.png,心,唐代石刻篆文,1,1778
81315.png,心,李阳冰,1,1778
81316.png,心,三体阴符经,1,1778
81319.png,心,古文四声韵,1,1778
81320.png,心,汗简,1,1778
81322.png,心,集篆古文韵海,1,1778
81325.png,心,马王堆帛书,1,1778
81326.png,心,吴大澂,1,1778
81327.png,心,吴昌硕,1,1778
81328.png,心,徐三庚,1,1778
81330.png,心,王澍,1,1778
81331.png,心,赵之谦,1,1778
81332.png,心,邓琰,1,1778
81334.png,心,黄士陵,1,1778
81335.png,心,李斯,1,1778
81336.png,心,三体石经,1,1778
8134.png,之,春秋僖公石经,1,202
88334.png,我,吴叡,1,1997
88335.png,我,唐代石刻篆文,1,1997
88336.png,我,李阳冰,1,1997
88337.png,我,三体阴符经,1,1997
88338.png,我,古文四声韵,1,1997
88341.png,我,汗简,1,1997
88343.png,我,隶释 隶续,1,1997
88347.png,我,集古文韵上声韵第三,1,1997
88349.png,我,集篆古文韵海,1,1997
88357.png,我,石鼓文,1,1997
88358.png,我,吴大澂,1,1997
88359.png,我,吴昌硕,1,1997
88360.png,我,杨沂孙,1,1997
88362.png,我,王澍,1,1997
88364.png,我,黄士陵,1,1997
88365.png,我,三体石经,1,1997
88371.png,我,春秋僖公石经,1,1997
938.png,㠯,唐代石刻篆文,1,34
941.png,㠯,李阳冰,1,34
943.png,㠯,三体阴符经,1,34
944.png,㠯,古文四声韵,1,34
946.png,㠯,汗简,1,34
948.png,㠯,隶释 隶续,1,34
950.png,㠯,集古文韵上声韵第三,1,34
952.png,㠯,集篆古文韵海,1,34
956.png,㠯,石鼓文,1,34
959.png,㠯,吴大澂,1,34
960.png,㠯,吴昌硕,1,34
961.png,㠯,徐三庚,1,34
962.png,㠯,杨沂孙,1,34
963.png,㠯,王澍,1,34
966.png,㠯,黄士陵,1,34
968.png,㠯,三体石经,1,34
97361.png,文,吴叡,1,2310
97362.png,文,李阳冰,1,2310
97364.png,文,古文四声韵,1,2310
97365.png,文,汗简,1,2310
97367.png,文,隶释 隶续,1,2310
97368.png,文,集篆古文韵海,1,2310
97374.png,文,吴昌硕,1,2310
97376.png,文,吴让之,1,2310
97377.png,文,徐三庚,1,2310
97378.png,文,杨沂孙,1,2310
97379.png,文,永瑆,1,2310
97380.png,文,王澍,1,2310
97382.png,文,邓琰,1,2310
97384.png,文,李斯,1,2310
97385.png,文,三体石经,1,2310
97388.png,文,春秋僖公石经,1,2310
98489.png,方,吴叡,1,2333
98490.png,方,李阳冰,1,2333
98492.png,方,古文四声韵,1,2333
98493.png,方,汗简,1,2333
98494.png,方,集篆古文韵海,1,2333
98497.png,方,石鼓文,1,2333
98498.png,方,吴大澂,1,2333
98499.png,方,吴昌硕,1,2333
98500.png,方,吴让之,1,2333
98501.png,方,徐三庚,1,2333
98502.png,方,杨沂孙,1,2333
98503.png,方,永瑆,1,2333
98505.png,方,王澍,1,2333
98506.png,方,赵之谦,1,2333
98507.png,方,黄士陵,1,2333
98508.png,方,李斯,1,2333
98509.png,方,三体石经,1,2333
